x,y1,y2,y3
0.100000,-15.314715,26.558068,-22.440965
0.105812,-14.229369,24.968703,-20.815296
0.111623,-13.257853,23.547506,-19.360817
0.117435,-12.383186,22.269025,-18.052058
0.123246,-11.591593,21.112610,-16.868351
0.129058,-10.871776,20.061335,-15.792752
0.134870,-10.214390,19.101193,-14.811237
0.140681,-9.611630,18.220498,-13.912099
0.146493,-9.056932,17.409419,-13.085491
0.152305,-8.544734,16.659627,-12.323067
0.158116,-8.070293,15.964024,-11.617709
0.163928,-7.629536,15.316517,-10.963309
0.169739,-7.218952,14.711853,-10.354594
0.175551,-6.835491,14.145476,-9.786992
0.181363,-6.476498,13.613417,-9.256515
0.187174,-6.139645,13.112199,-8.759671
0.192986,-5.822887,12.638770,-8.293389
0.198798,-5.524417,12.190436,-7.854957
0.204609,-5.242634,11.764809,-7.441971
0.210421,-4.976114,11.359768,-7.052294
0.216232,-4.723587,10.973423,-6.684017
0.222044,-4.483914,10.604083,-6.335432
0.227856,-4.256076,10.250231,-6.005005
0.233667,-4.039153,9.910502,-5.691355
0.239479,-3.832314,9.583666,-5.393235
0.245291,-3.634810,9.268612,-5.109516
0.251102,-3.445958,8.964333,-4.839174
0.256914,-3.265140,8.669913,-4.581279
0.262725,-3.091791,8.384521,-4.334980
0.268537,-2.925396,8.107398,-4.099502
0.274349,-2.765483,7.837851,-3.874137
0.280160,-2.611620,7.575247,-3.658233
0.285972,-2.463411,7.319005,-3.451192
0.291784,-2.320491,7.068590,-3.252466
0.297595,-2.182523,6.823513,-3.061546
0.303407,-2.049197,6.583323,-2.877966
0.309218,-1.920227,6.347604,-2.701291
0.315030,-1.795346,6.115971,-2.531123
0.320842,-1.674310,5.888069,-2.367088
0.326653,-1.556888,5.663569,-2.208841
0.332465,-1.442871,5.442168,-2.056063
0.338277,-1.332059,5.223583,-1.908454
0.344088,-1.224269,5.007552,-1.765735
0.349900,-1.119330,4.793832,-1.627647
0.355711,-1.017082,4.582196,-1.493947
0.361523,-0.917374,4.372433,-1.364407
0.367335,-0.820068,4.164348,-1.238814
0.373146,-0.725031,3.957757,-1.116970
0.378958,-0.632142,3.752490,-0.998688
0.384770,-0.541284,3.548388,-0.883790
0.390581,-0.452349,3.345301,-0.772113
0.396393,-0.365237,3.143090,-0.663500
0.402204,-0.279850,2.941627,-0.557805
0.408016,-0.196100,2.740789,-0.454890
0.413828,-0.113900,2.540462,-0.354625
0.419639,-0.033172,2.340541,-0.256887
0.425451,0.046160,2.140925,-0.161560
0.431263,0.124168,1.941522,-0.068533
0.437074,0.200919,1.742244,0.022296
0.442886,0.276476,1.543008,0.111028
0.448697,0.350899,1.343739,0.197754
0.454509,0.424246,1.144365,0.282563
0.460321,0.496570,0.944818,0.365540
0.466132,0.567922,0.745036,0.446763
0.471944,0.638350,0.544959,0.526309
0.477756,0.707901,0.344532,0.604250
0.483567,0.776618,0.143703,0.680654
0.489379,0.844542,-0.057575,0.755586
0.495190,0.911713,-0.259349,0.829108
0.501002,0.978167,-0.461661,0.901279
0.506814,1.043940,-0.664549,0.972156
0.512625,1.109065,-0.868051,1.041792
0.518437,1.173575,-1.072202,1.110239
0.524248,1.237500,-1.277032,1.177545
0.530060,1.300868,-1.482573,1.243758
0.535872,1.363708,-1.688852,1.308921
0.541683,1.426046,-1.895894,1.373078
0.547495,1.487905,-2.103723,1.436269
0.553307,1.549311,-2.312362,1.498534
0.559118,1.610286,-2.521830,1.559909
0.564930,1.670851,-2.732146,1.620431
0.570741,1.731026,-2.943328,1.680133
0.576553,1.790832,-3.155390,1.739049
0.582365,1.850287,-3.368348,1.797210
0.588176,1.909409,-3.582214,1.854646
0.593988,1.968215,-3.797000,1.911386
0.599800,2.026720,-4.012716,1.967458
0.605611,2.084940,-4.229371,2.022888
0.611423,2.142891,-4.446975,2.077703
0.617234,2.200585,-4.665533,2.131926
0.623046,2.258036,-4.885053,2.185581
0.628858,2.315257,-5.105539,2.238691
0.634669,2.372260,-5.326995,2.291277
0.640481,2.429057,-5.549426,2.343361
0.646293,2.485658,-5.772833,2.394963
0.652104,2.542073,-5.997219,2.446101
0.657916,2.598314,-6.222584,2.496795
0.663727,2.654388,-6.448928,2.547063
0.669539,2.710306,-6.676252,2.596921
0.675351,2.766076,-6.904553,2.646387
0.681162,2.821706,-7.133831,2.695475
0.686974,2.877204,-7.364082,2.744203
0.692786,2.932576,-7.595304,2.792584
0.698597,2.987831,-7.827493,2.840632
0.704409,3.042975,-8.060645,2.888362
0.710220,3.098013,-8.294755,2.935787
0.716032,3.152953,-8.529819,2.982919
0.721844,3.207799,-8.765829,3.029771
0.727655,3.262557,-9.002780,3.076354
0.733467,3.317232,-9.240666,3.122680
0.739279,3.371829,-9.479479,3.168761
0.745090,3.426352,-9.719212,3.214606
0.750902,3.480806,-9.959856,3.260225
0.756713,3.535194,-10.201403,3.305630
0.762525,3.589521,-10.443845,3.350828
0.768337,3.643789,-10.687173,3.395830
0.774148,3.698002,-10.931376,3.440644
0.779960,3.752164,-11.176446,3.485279
0.785772,3.806276,-11.422371,3.529742
0.791583,3.860342,-11.669142,3.574043
0.797395,3.914365,-11.916747,3.618188
0.803206,3.968345,-12.165175,3.662184
0.809018,4.022286,-12.414415,3.706040
0.814830,4.076190,-12.664456,3.749762
0.820641,4.130058,-12.915284,3.793356
0.826453,4.183891,-13.166889,3.836828
0.832265,4.237692,-13.419256,3.880186
0.838076,4.291461,-13.672375,3.923434
0.843888,4.345200,-13.926230,3.966579
0.849699,4.398909,-14.180810,4.009626
0.855511,4.452590,-14.436101,4.052580
0.861323,4.506243,-14.692088,4.095447
0.867134,4.559869,-14.948758,4.138231
0.872946,4.613468,-15.206098,4.180936
0.878758,4.667040,-15.464091,4.223569
0.884569,4.720587,-15.722724,4.266132
0.890381,4.774107,-15.981982,4.308630
0.896192,4.827601,-16.241850,4.351067
0.902004,4.881069,-16.502313,4.393448
0.907816,4.934510,-16.763356,4.435775
0.913627,4.987925,-17.024962,4.478053
0.919439,5.041312,-17.287117,4.520284
0.925251,5.094672,-17.549804,4.562472
0.931062,5.148004,-17.813007,4.604621
0.936874,5.201307,-18.076711,4.646733
0.942685,5.254580,-18.340899,4.688811
0.948497,5.307823,-18.605554,4.730859
0.954309,5.361034,-18.870660,4.772877
0.960120,5.414212,-19.136200,4.814871
0.965932,5.467357,-19.402157,4.856841
0.971743,5.520467,-19.668514,4.898789
0.977555,5.573542,-19.935254,4.940719
0.983367,5.626579,-20.202360,4.982633
0.989178,5.679577,-20.469815,5.024532
0.994990,5.732535,-20.737600,5.066418
1.000802,5.785452,-21.005698,5.108293
1.006613,5.838325,-21.274092,5.150159
1.012425,5.891154,-21.542763,5.192018
1.018236,5.943936,-21.811694,5.233870
1.024048,5.996669,-22.080866,5.275718
1.029860,6.049353,-22.350262,5.317563
1.035671,6.101985,-22.619863,5.359406
1.041483,6.154563,-22.889650,5.401249
1.047295,6.207086,-23.159606,5.443092
1.053106,6.259550,-23.429711,5.484936
1.058918,6.311955,-23.699947,5.526783
1.064729,6.364298,-23.970296,5.568634
1.070541,6.416576,-24.240738,5.610488
1.076353,6.468789,-24.511255,5.652348
1.082164,6.520933,-24.781827,5.694214
1.087976,6.573006,-25.052436,5.736086
1.093788,6.625006,-25.323062,5.777965
1.099599,6.676930,-25.593687,5.819852
1.105411,6.728777,-25.864291,5.861747
1.111222,6.780543,-26.134854,5.903650
1.117034,6.832227,-26.405358,5.945561
1.122846,6.883825,-26.675783,5.987482
1.128657,6.935336,-26.946109,6.029412
1.134469,6.986756,-27.216317,6.071351
1.140281,7.038083,-27.486387,6.113299
1.146092,7.089314,-27.756299,6.155257
1.151904,7.140448,-28.026034,6.197225
1.157715,7.191480,-28.295572,6.239202
1.163527,7.242408,-28.564893,6.281188
1.169339,7.293230,-28.833978,6.323184
1.175150,7.343943,-29.102805,6.365189
1.180962,7.394544,-29.371356,6.407202
1.186774,7.445030,-29.639610,6.449224
1.192585,7.495398,-29.907548,6.491255
1.198397,7.545645,-30.175148,6.533293
1.204208,7.595769,-30.442391,6.575338
1.210020,7.645766,-30.709257,6.617391
1.215832,7.695635,-30.975726,6.659450
1.221643,7.745370,-31.241777,6.701515
1.227455,7.794971,-31.507390,6.743585
